
--------------------------------

--------------------------------
0,0.81103

--------------------------------
0,0.81081

--------------------------------
0,0.81110
10,0.09390
20,0.06008
30,0.05043
40,0.04238
50,0.03525
60,0.03760
70,0.02882
80,0.02863
90,0.02600
100,0.02684
110,0.02197
120,0.02261
130,0.02186
140,0.02066
150,0.02019
160,0.01987
170,0.02001
180,0.02017
190,0.02032
200,0.02087
210,0.01755
220,0.01675
230,0.01576
240,0.01620
250,0.01582
260,0.01557
270,0.01724
280,0.01558
290,0.01464
300,0.01545
310,0.01603
320,0.01417
330,0.01669
340,0.01468
350,0.01504
360,0.01440
370,0.01332
380,0.01516
390,0.01393
400,0.01357
410,0.01402
420,0.01409
430,0.01281
440,0.01491
450,0.01576
460,0.01444
470,0.01309
480,0.01545
490,0.01541
500,0.01205
510,0.01404
520,0.01237
530,0.01256
540,0.01125
550,0.01682
560,0.01338
570,0.01281
580,0.01285
590,0.01586
600,0.01410
610,0.01216
620,0.01248
630,0.01311
640,0.01356
650,0.01229
660,0.01287
670,0.01226
680,0.01116
690,0.01220
700,0.01305
710,0.01112
720,0.01178
730,0.01101
740,0.01171
750,0.01158
760,0.01276
770,0.01107
780,0.01214
790,0.01622
800,0.01309
810,0.01192
820,0.01296
830,0.01344
840,0.01154
850,0.01279
860,0.01266
870,0.01182
880,0.01303
890,0.01185
900,0.01119
910,0.01108
920,0.01204
930,0.01110
940,0.01147
950,0.01147
960,0.01396
970,0.01310
980,0.01030
990,0.01078
